id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38847558,Experience New Downtown WorldMark/Wyndham Resort,220288938,Michael,,78701,30.27115,-97.74848,Entire home/apt,400,3,0,,,1,0,0,
38847876,Southern Comfort - Modern 6th Street Condo | Professionally Cleaned + Hosted By GuestSpaces,138398089,GuestSpaces,,78702,30.26493,-97.73397,Entire home/apt,618,2,23,2021-08-08,0.99,31,327,10,
38848169,"👪Cozy, Spacious 6B Home Near Everything in Austin 🏘️",243684594,Shirley,,78741,30.22194,-97.73526,Entire home/apt,1475,1,2,2020-03-20,0.10,34,258,0,
38849122,Old South Austin Charm in the Center of Everything,133851875,Rachel,,78704,30.24778,-97.7623,Entire home/apt,115,2,11,2020-03-15,0.47,1,0,0,
38851897,"Hill Country life,  just on the edge of the city",227585709,Jesse,,78736,30.24873,-97.89307,Private room,109,1,1,2019-10-12,0.04,1,0,0,
38867632,West Side Manor -7 mins from Downtown- 10+ guests!,297634770,Kathleen,,78703,30.2877,-97.77081,Entire home/apt,821,1,17,2020-07-19,0.75,1,0,0,
38868075,Hudson Hideaway - Charming Lake Travis Townhome,297642974,Casey,,78734,30.4016,-97.92607,Entire home/apt,177,2,45,2021-08-15,3.14,2,322,18,
38870208,"3 bedroom home in hip Central Austin, sleeps 8+",6221656,Matt,,78751,30.31861,-97.72744,Entire home/apt,590,3,3,2021-07-26,0.16,2,0,2,
38870218,Relaxing and Cozy Home | Near Domain,294651125,Xiao,,78727,30.42019,-97.7267,Entire home/apt,246,2,26,2021-08-21,3.00,2,327,22,
38875241,2 miles from Zilker; plenty of restaurants,20622956,Rajan,,78704,30.24333,-97.76134,Entire home/apt,500,1,0,,,1,86,0,
38875315,Evans: Private Room in Great Community,8167447,Martin,,78751,30.31635,-97.71737,Private room,41,30,1,2020-03-31,0.06,76,318,0,
38875853,N.Lamar: Private Room in Community,8167447,Martin,,78756,30.31982,-97.73102,Private room,41,30,2,2021-04-11,0.83,76,364,2,
38878174,Soak up the Rustic Texan Aesthetic at Lady Bird House ATX,49382935,Neal,,78702,30.25275,-97.731,Entire home/apt,187,5,129,2021-09-12,10.72,3,46,67,
38902117,Simple Downtown Studio- Safe and Clean!,191656674,Katie,,78704,30.23165,-97.76968,Entire home/apt,31,1,4,2019-10-27,0.17,1,0,0,
38902759,Huge Hideout l Heated Pool l 12min Dtown,169758891,Valerie,,78737,30.22772,-97.91052,Entire home/apt,591,1,60,2021-09-07,26.87,13,338,25,
38902811,Private cabana in a quiet accessible neighborhood,241979184,Curt,,78746,30.34141,-97.81149,Entire home/apt,87,1,8,2021-05-31,0.35,1,26,6,
