id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50734385,MID CENTURY ABODE,374645236,Michael,,78758,30.39553,-97.70126,Entire home/apt,146,2,17,2021-11-26,3.81,11,161,17,
50747825,ABOVE CROWN JEWEL I LAKEFRONT I SPORTS LAWN I GOLF SIM I GYM I GAME HOME,210733801,Above Vacation,,78732,30.34761,-97.874779,Entire home/apt,100,1,0,,,40,364,0,
50747840,ABOVE SUNSET POINT I LAKEFRONT I POOL&SPA I GAMEROOM I BUNKROOM I CASITA,210733801,Above Vacation,,78732,30.415991,-97.900558,Entire home/apt,2884,1,0,,,40,222,0,
50747884,ABOVE AUTOGRAPH | LUXURY LAKE FRONT I POOL/SPA I LAKE DECK/SLIP,210733801,Above Vacation,,78732,30.35108,-97.86982,Entire home/apt,3484,1,0,,,40,349,0,
50748723,Modern Central Austin “Sunset” Apartment,3614096,Leah,,78705,30.30037,-97.74378,Entire home/apt,175,2,11,2021-11-21,3.93,1,89,11,
50749249,Comfortable house 2 miles from the Domain,3538703,Mike,,78758,30.39418,-97.70376,Entire home/apt,150,3,8,2021-10-26,1.69,9,58,8,
50751653,Lakefront Mid-Century Home | Walk to Marina,109638288,TurnKey Vacation Rentals,,78730,30.32965,-97.82673,Entire home/apt,445,2,2,2021-10-11,0.79,61,0,2,
50752618,Hollywood Hills Shabby Chic Hideout +Amazing View!,4912146,Deacon,,78746,30.29936,-97.78754,Entire home/apt,122,2,11,2021-12-06,2.10,19,160,11,
50752806,Pearl - Private Pool!!!!,118565935,Renters Club,,78704,30.254,-97.78393,Entire home/apt,908,1,1,2021-10-04,0.43,84,237,1,
50754443,Stay in a place of your own | 1BR in Austin,359036978,Casey,,78745,30.18326,-97.77637,Entire home/apt,153,30,0,,,329,365,0,
50754568,Private bed & bath walking distance to Zilker,74376531,Kylee,,78704,30.25613,-97.7703,Private room,900,1,0,,,1,365,0,
50755754,Stay In Style | Renovated & Walkable Bungalow,410169720,Jason,,78702,30.25844,-97.72376,Entire home/apt,69,1,42,2021-12-09,7.88,3,324,42,
50765058,BioHacker Bachelor Pad Studio (Downtown),85542067,Jeffrey,,78701,30.26573,-97.74339,Entire home/apt,189,3,7,2021-11-25,1.49,1,10,7,
50766338,The Austin Gingerbread House in perfect location,60637802,Austingingerbread,,78704,30.24581,-97.75822,Entire home/apt,200,4,4,2021-11-01,0.78,1,178,4,
